row_type,scenario,trial,node_count,op_count,topology_kind,edge_count,diameter,convergence_ms,mean_ms,p50_ms,p95_ms,wiring_ms,mean_wiring_ms
trial,divergence-n2-append-1e2,1,2,200,partition_heal,1,1,4.642,,,,0.435,
trial,divergence-n2-append-1e2,2,2,200,partition_heal,1,1,4.515,,,,0.578,
trial,divergence-n2-append-1e2,3,2,200,partition_heal,1,1,4.325,,,,0.400,
trial,divergence-n2-append-1e2,4,2,200,partition_heal,1,1,5.229,,,,0.460,
trial,divergence-n2-append-1e2,5,2,200,partition_heal,1,1,4.589,,,,0.434,
trial,divergence-n2-append-1e2,6,2,200,partition_heal,1,1,4.523,,,,0.369,
trial,divergence-n2-append-1e2,7,2,200,partition_heal,1,1,4.583,,,,0.460,
trial,divergence-n2-append-1e2,8,2,200,partition_heal,1,1,4.177,,,,0.403,
trial,divergence-n2-append-1e2,9,2,200,partition_heal,1,1,4.238,,,,0.320,
trial,divergence-n2-append-1e2,10,2,200,partition_heal,1,1,4.780,,,,0.406,
trial,divergence-n2-append-1e2,11,2,200,partition_heal,1,1,4.809,,,,0.595,
trial,divergence-n2-append-1e2,12,2,200,partition_heal,1,1,4.244,,,,0.418,
trial,divergence-n2-append-1e2,13,2,200,partition_heal,1,1,4.381,,,,0.411,
trial,divergence-n2-append-1e2,14,2,200,partition_heal,1,1,4.184,,,,0.404,
trial,divergence-n2-append-1e2,15,2,200,partition_heal,1,1,4.469,,,,0.373,
trial,divergence-n2-append-1e2,16,2,200,partition_heal,1,1,4.255,,,,0.401,
trial,divergence-n2-append-1e2,17,2,200,partition_heal,1,1,5.900,,,,0.404,
trial,divergence-n2-append-1e2,18,2,200,partition_heal,1,1,4.430,,,,0.407,
trial,divergence-n2-append-1e2,19,2,200,partition_heal,1,1,5.361,,,,0.422,
trial,divergence-n2-append-1e2,20,2,200,partition_heal,1,1,5.107,,,,0.447,
summary,divergence-n2-append-1e2,20,2,200,partition_heal,1,1,,4.637,4.515,5.361,,0.427
trial,divergence-n2-random_position-1e2,1,2,200,partition_heal,1,1,5.273,,,,0.373,
trial,divergence-n2-random_position-1e2,2,2,200,partition_heal,1,1,4.566,,,,0.367,
trial,divergence-n2-random_position-1e2,3,2,200,partition_heal,1,1,5.395,,,,0.583,
trial,divergence-n2-random_position-1e2,4,2,200,partition_heal,1,1,4.665,,,,0.511,
trial,divergence-n2-random_position-1e2,5,2,200,partition_heal,1,1,4.610,,,,0.436,
trial,divergence-n2-random_position-1e2,6,2,200,partition_heal,1,1,4.354,,,,0.378,
trial,divergence-n2-random_position-1e2,7,2,200,partition_heal,1,1,7.089,,,,0.483,
trial,divergence-n2-random_position-1e2,8,2,200,partition_heal,1,1,4.991,,,,0.433,
trial,divergence-n2-random_position-1e2,9,2,200,partition_heal,1,1,5.252,,,,0.357,
trial,divergence-n2-random_position-1e2,10,2,200,partition_heal,1,1,5.719,,,,0.441,
trial,divergence-n2-random_position-1e2,11,2,200,partition_heal,1,1,4.223,,,,0.404,
trial,divergence-n2-random_position-1e2,12,2,200,partition_heal,1,1,4.731,,,,0.489,
trial,divergence-n2-random_position-1e2,13,2,200,partition_heal,1,1,4.917,,,,0.388,
trial,divergence-n2-random_position-1e2,14,2,200,partition_heal,1,1,4.600,,,,0.466,
trial,divergence-n2-random_position-1e2,15,2,200,partition_heal,1,1,5.371,,,,0.440,
trial,divergence-n2-random_position-1e2,16,2,200,partition_heal,1,1,4.575,,,,0.469,
trial,divergence-n2-random_position-1e2,17,2,200,partition_heal,1,1,4.802,,,,0.409,
trial,divergence-n2-random_position-1e2,18,2,200,partition_heal,1,1,4.191,,,,0.409,
trial,divergence-n2-random_position-1e2,19,2,200,partition_heal,1,1,5.560,,,,0.466,
trial,divergence-n2-random_position-1e2,20,2,200,partition_heal,1,1,4.231,,,,0.378,
summary,divergence-n2-random_position-1e2,20,2,200,partition_heal,1,1,,4.956,4.731,5.719,,0.434
trial,divergence-n2-same_region-1e2,1,2,200,partition_heal,1,1,8.166,,,,0.453,
trial,divergence-n2-same_region-1e2,2,2,200,partition_heal,1,1,7.754,,,,0.411,
trial,divergence-n2-same_region-1e2,3,2,200,partition_heal,1,1,6.546,,,,0.426,
trial,divergence-n2-same_region-1e2,4,2,200,partition_heal,1,1,8.300,,,,0.411,
trial,divergence-n2-same_region-1e2,5,2,200,partition_heal,1,1,6.491,,,,0.448,
trial,divergence-n2-same_region-1e2,6,2,200,partition_heal,1,1,7.030,,,,0.484,
trial,divergence-n2-same_region-1e2,7,2,200,partition_heal,1,1,7.650,,,,0.496,
trial,divergence-n2-same_region-1e2,8,2,200,partition_heal,1,1,6.352,,,,0.434,
trial,divergence-n2-same_region-1e2,9,2,200,partition_heal,1,1,6.483,,,,0.409,
trial,divergence-n2-same_region-1e2,10,2,200,partition_heal,1,1,6.002,,,,0.439,
trial,divergence-n2-same_region-1e2,11,2,200,partition_heal,1,1,6.530,,,,0.399,
trial,divergence-n2-same_region-1e2,12,2,200,partition_heal,1,1,7.277,,,,0.321,
