row_type,scenario,trial,node_count,op_count,topology_kind,edge_count,diameter,convergence_ms,mean_ms,p50_ms,p95_ms
trial,divergence-n2-append-1e2,1,2,200,partition_heal,1,1,6.785,,,
trial,divergence-n2-append-1e2,2,2,200,partition_heal,1,1,6.011,,,
trial,divergence-n2-append-1e2,3,2,200,partition_heal,1,1,5.342,,,
trial,divergence-n2-append-1e2,4,2,200,partition_heal,1,1,5.046,,,
trial,divergence-n2-append-1e2,5,2,200,partition_heal,1,1,5.326,,,
trial,divergence-n2-append-1e2,6,2,200,partition_heal,1,1,4.869,,,
trial,divergence-n2-append-1e2,7,2,200,partition_heal,1,1,4.726,,,
trial,divergence-n2-append-1e2,8,2,200,partition_heal,1,1,5.231,,,
trial,divergence-n2-append-1e2,9,2,200,partition_heal,1,1,6.524,,,
trial,divergence-n2-append-1e2,10,2,200,partition_heal,1,1,7.128,,,
trial,divergence-n2-append-1e2,11,2,200,partition_heal,1,1,5.201,,,
trial,divergence-n2-append-1e2,12,2,200,partition_heal,1,1,4.830,,,
trial,divergence-n2-append-1e2,13,2,200,partition_heal,1,1,5.144,,,
trial,divergence-n2-append-1e2,14,2,200,partition_heal,1,1,5.309,,,
trial,divergence-n2-append-1e2,15,2,200,partition_heal,1,1,4.994,,,
trial,divergence-n2-append-1e2,16,2,200,partition_heal,1,1,4.825,,,
trial,divergence-n2-append-1e2,17,2,200,partition_heal,1,1,5.180,,,
trial,divergence-n2-append-1e2,18,2,200,partition_heal,1,1,5.011,,,
trial,divergence-n2-append-1e2,19,2,200,partition_heal,1,1,4.768,,,
trial,divergence-n2-append-1e2,20,2,200,partition_heal,1,1,4.884,,,
summary,divergence-n2-append-1e2,20,2,200,partition_heal,1,1,,5.357,5.144,6.785
trial,divergence-n2-random_position-1e2,1,2,200,partition_heal,1,1,5.594,,,
trial,divergence-n2-random_position-1e2,2,2,200,partition_heal,1,1,5.502,,,
trial,divergence-n2-random_position-1e2,3,2,200,partition_heal,1,1,5.031,,,
trial,divergence-n2-random_position-1e2,4,2,200,partition_heal,1,1,5.897,,,
trial,divergence-n2-random_position-1e2,5,2,200,partition_heal,1,1,5.587,,,
trial,divergence-n2-random_position-1e2,6,2,200,partition_heal,1,1,5.477,,,
trial,divergence-n2-random_position-1e2,7,2,200,partition_heal,1,1,4.794,,,
trial,divergence-n2-random_position-1e2,8,2,200,partition_heal,1,1,6.423,,,
trial,divergence-n2-random_position-1e2,9,2,200,partition_heal,1,1,7.473,,,
trial,divergence-n2-random_position-1e2,10,2,200,partition_heal,1,1,5.002,,,
trial,divergence-n2-random_position-1e2,11,2,200,partition_heal,1,1,4.854,,,
trial,divergence-n2-random_position-1e2,12,2,200,partition_heal,1,1,5.583,,,
trial,divergence-n2-random_position-1e2,13,2,200,partition_heal,1,1,4.919,,,
trial,divergence-n2-random_position-1e2,14,2,200,partition_heal,1,1,6.367,,,
trial,divergence-n2-random_position-1e2,15,2,200,partition_heal,1,1,6.439,,,
trial,divergence-n2-random_position-1e2,16,2,200,partition_heal,1,1,5.933,,,
trial,divergence-n2-random_position-1e2,17,2,200,partition_heal,1,1,6.061,,,
trial,divergence-n2-random_position-1e2,18,2,200,partition_heal,1,1,7.105,,,
trial,divergence-n2-random_position-1e2,19,2,200,partition_heal,1,1,5.278,,,
trial,divergence-n2-random_position-1e2,20,2,200,partition_heal,1,1,5.877,,,
summary,divergence-n2-random_position-1e2,20,2,200,partition_heal,1,1,,5.760,5.587,7.105
trial,divergence-n2-same_region-1e2,1,2,200,partition_heal,1,1,4.911,,,
trial,divergence-n2-same_region-1e2,2,2,200,partition_heal,1,1,5.699,,,
