row_type,scenario,trial,node_count,op_count,topology_kind,edge_count,diameter,convergence_ms,mean_ms,p50_ms,p95_ms
trial,divergence-n2-append-1e2,1,2,200,partition_heal,1,1,6.492,,,
trial,divergence-n2-append-1e2,2,2,200,partition_heal,1,1,5.555,,,
trial,divergence-n2-append-1e2,3,2,200,partition_heal,1,1,6.800,,,
trial,divergence-n2-append-1e2,4,2,200,partition_heal,1,1,5.224,,,
trial,divergence-n2-append-1e2,5,2,200,partition_heal,1,1,6.091,,,
trial,divergence-n2-append-1e2,6,2,200,partition_heal,1,1,4.262,,,
trial,divergence-n2-append-1e2,7,2,200,partition_heal,1,1,5.138,,,
trial,divergence-n2-append-1e2,8,2,200,partition_heal,1,1,5.658,,,
trial,divergence-n2-append-1e2,9,2,200,partition_heal,1,1,4.892,,,
trial,divergence-n2-append-1e2,10,2,200,partition_heal,1,1,5.334,,,
trial,divergence-n2-append-1e2,11,2,200,partition_heal,1,1,5.042,,,
trial,divergence-n2-append-1e2,12,2,200,partition_heal,1,1,5.308,,,
trial,divergence-n2-append-1e2,13,2,200,partition_heal,1,1,6.502,,,
trial,divergence-n2-append-1e2,14,2,200,partition_heal,1,1,6.036,,,
trial,divergence-n2-append-1e2,15,2,200,partition_heal,1,1,5.462,,,
trial,divergence-n2-append-1e2,16,2,200,partition_heal,1,1,5.097,,,
trial,divergence-n2-append-1e2,17,2,200,partition_heal,1,1,5.519,,,
trial,divergence-n2-append-1e2,18,2,200,partition_heal,1,1,5.931,,,
trial,divergence-n2-append-1e2,19,2,200,partition_heal,1,1,5.605,,,
trial,divergence-n2-append-1e2,20,2,200,partition_heal,1,1,5.822,,,
summary,divergence-n2-append-1e2,20,2,200,partition_heal,1,1,,5.588,5.519,6.502
trial,divergence-n2-random_position-1e2,1,2,200,partition_heal,1,1,6.400,,,
trial,divergence-n2-random_position-1e2,2,2,200,partition_heal,1,1,6.946,,,
trial,divergence-n2-random_position-1e2,3,2,200,partition_heal,1,1,6.133,,,
trial,divergence-n2-random_position-1e2,4,2,200,partition_heal,1,1,6.009,,,
trial,divergence-n2-random_position-1e2,5,2,200,partition_heal,1,1,5.925,,,
trial,divergence-n2-random_position-1e2,6,2,200,partition_heal,1,1,6.871,,,
trial,divergence-n2-random_position-1e2,7,2,200,partition_heal,1,1,7.235,,,
trial,divergence-n2-random_position-1e2,8,2,200,partition_heal,1,1,6.784,,,
trial,divergence-n2-random_position-1e2,9,2,200,partition_heal,1,1,6.432,,,
trial,divergence-n2-random_position-1e2,10,2,200,partition_heal,1,1,6.526,,,
trial,divergence-n2-random_position-1e2,11,2,200,partition_heal,1,1,6.288,,,
trial,divergence-n2-random_position-1e2,12,2,200,partition_heal,1,1,5.894,,,
trial,divergence-n2-random_position-1e2,13,2,200,partition_heal,1,1,6.167,,,
trial,divergence-n2-random_position-1e2,14,2,200,partition_heal,1,1,5.465,,,
trial,divergence-n2-random_position-1e2,15,2,200,partition_heal,1,1,5.266,,,
trial,divergence-n2-random_position-1e2,16,2,200,partition_heal,1,1,6.493,,,
trial,divergence-n2-random_position-1e2,17,2,200,partition_heal,1,1,6.500,,,
trial,divergence-n2-random_position-1e2,18,2,200,partition_heal,1,1,5.434,,,
trial,divergence-n2-random_position-1e2,19,2,200,partition_heal,1,1,4.825,,,
trial,divergence-n2-random_position-1e2,20,2,200,partition_heal,1,1,6.683,,,
summary,divergence-n2-random_position-1e2,20,2,200,partition_heal,1,1,,6.214,6.288,6.946
trial,divergence-n2-same_region-1e2,1,2,200,partition_heal,1,1,8.002,,,
trial,divergence-n2-same_region-1e2,2,2,200,partition_heal,1,1,8.305,,,
trial,divergence-n2-same_region-1e2,3,2,200,partition_heal,1,1,8.657,,,
trial,divergence-n2-same_region-1e2,4,2,200,partition_heal,1,1,8.161,,,
trial,divergence-n2-same_region-1e2,5,2,200,partition_heal,1,1,10.187,,,
trial,divergence-n2-same_region-1e2,6,2,200,partition_heal,1,1,7.733,,,
trial,divergence-n2-same_region-1e2,7,2,200,partition_heal,1,1,6.684,,,
trial,divergence-n2-same_region-1e2,8,2,200,partition_heal,1,1,7.076,,,
trial,divergence-n2-same_region-1e2,9,2,200,partition_heal,1,1,6.500,,,
trial,divergence-n2-same_region-1e2,10,2,200,partition_heal,1,1,8.757,,,
trial,divergence-n2-same_region-1e2,11,2,200,partition_heal,1,1,8.734,,,
trial,divergence-n2-same_region-1e2,12,2,200,partition_heal,1,1,10.600,,,
trial,divergence-n2-same_region-1e2,13,2,200,partition_heal,1,1,7.249,,,
trial,divergence-n2-same_region-1e2,14,2,200,partition_heal,1,1,6.729,,,
trial,divergence-n2-same_region-1e2,15,2,200,partition_heal,1,1,8.358,,,
trial,divergence-n2-same_region-1e2,16,2,200,partition_heal,1,1,8.387,,,
trial,divergence-n2-same_region-1e2,17,2,200,partition_heal,1,1,7.241,,,
trial,divergence-n2-same_region-1e2,18,2,200,partition_heal,1,1,7.628,,,
trial,divergence-n2-same_region-1e2,19,2,200,partition_heal,1,1,7.394,,,
trial,divergence-n2-same_region-1e2,20,2,200,partition_heal,1,1,7.856,,,
summary,divergence-n2-same_region-1e2,20,2,200,partition_heal,1,1,,8.012,7.856,10.187
trial,divergence-n2-append-1e3,1,2,2000,partition_heal,1,1,34.311,,,
trial,divergence-n2-append-1e3,2,2,2000,partition_heal,1,1,42.356,,,
trial,divergence-n2-append-1e3,3,2,2000,partition_heal,1,1,30.839,,,
trial,divergence-n2-append-1e3,4,2,2000,partition_heal,1,1,27.029,,,
trial,divergence-n2-append-1e3,5,2,2000,partition_heal,1,1,28.581,,,
trial,divergence-n2-append-1e3,6,2,2000,partition_heal,1,1,31.162,,,
trial,divergence-n2-append-1e3,7,2,2000,partition_heal,1,1,29.717,,,
trial,divergence-n2-append-1e3,8,2,2000,partition_heal,1,1,34.373,,,
trial,divergence-n2-append-1e3,9,2,2000,partition_heal,1,1,30.433,,,
trial,divergence-n2-append-1e3,10,2,2000,partition_heal,1,1,30.801,,,
trial,divergence-n2-append-1e3,11,2,2000,partition_heal,1,1,33.836,,,
trial,divergence-n2-append-1e3,12,2,2000,partition_heal,1,1,31.452,,,
trial,divergence-n2-append-1e3,13,2,2000,partition_heal,1,1,35.537,,,
trial,divergence-n2-append-1e3,14,2,2000,partition_heal,1,1,31.067,,,
trial,divergence-n2-append-1e3,15,2,2000,partition_heal,1,1,29.857,,,
trial,divergence-n2-append-1e3,16,2,2000,partition_heal,1,1,36.435,,,
trial,divergence-n2-append-1e3,17,2,2000,partition_heal,1,1,27.819,,,
trial,divergence-n2-append-1e3,18,2,2000,partition_heal,1,1,31.372,,,
trial,divergence-n2-append-1e3,19,2,2000,partition_heal,1,1,31.097,,,
trial,divergence-n2-append-1e3,20,2,2000,partition_heal,1,1,29.720,,,
summary,divergence-n2-append-1e3,20,2,2000,partition_heal,1,1,,31.890,31.067,36.435
trial,divergence-n2-random_position-1e3,1,2,2000,partition_heal,1,1,35.909,,,
trial,divergence-n2-random_position-1e3,2,2,2000,partition_heal,1,1,40.110,,,
trial,divergence-n2-random_position-1e3,3,2,2000,partition_heal,1,1,34.624,,,
trial,divergence-n2-random_position-1e3,4,2,2000,partition_heal,1,1,47.451,,,
trial,divergence-n2-random_position-1e3,5,2,2000,partition_heal,1,1,39.414,,,
trial,divergence-n2-random_position-1e3,6,2,2000,partition_heal,1,1,39.979,,,
trial,divergence-n2-random_position-1e3,7,2,2000,partition_heal,1,1,35.965,,,
trial,divergence-n2-random_position-1e3,8,2,2000,partition_heal,1,1,34.413,,,
trial,divergence-n2-random_position-1e3,9,2,2000,partition_heal,1,1,32.476,,,
trial,divergence-n2-random_position-1e3,10,2,2000,partition_heal,1,1,30.789,,,
trial,divergence-n2-random_position-1e3,11,2,2000,partition_heal,1,1,35.613,,,
trial,divergence-n2-random_position-1e3,12,2,2000,partition_heal,1,1,37.154,,,
trial,divergence-n2-random_position-1e3,13,2,2000,partition_heal,1,1,31.680,,,
trial,divergence-n2-random_position-1e3,14,2,2000,partition_heal,1,1,32.888,,,
trial,divergence-n2-random_position-1e3,15,2,2000,partition_heal,1,1,34.313,,,
trial,divergence-n2-random_position-1e3,16,2,2000,partition_heal,1,1,35.895,,,
trial,divergence-n2-random_position-1e3,17,2,2000,partition_heal,1,1,38.130,,,
trial,divergence-n2-random_position-1e3,18,2,2000,partition_heal,1,1,35.115,,,
trial,divergence-n2-random_position-1e3,19,2,2000,partition_heal,1,1,39.126,,,
trial,divergence-n2-random_position-1e3,20,2,2000,partition_heal,1,1,39.059,,,
summary,divergence-n2-random_position-1e3,20,2,2000,partition_heal,1,1,,36.505,35.895,40.110
trial,divergence-n2-same_region-1e3,1,2,2000,partition_heal,1,1,70.438,,,
trial,divergence-n2-same_region-1e3,2,2,2000,partition_heal,1,1,68.494,,,
trial,divergence-n2-same_region-1e3,3,2,2000,partition_heal,1,1,61.641,,,
trial,divergence-n2-same_region-1e3,4,2,2000,partition_heal,1,1,52.938,,,
trial,divergence-n2-same_region-1e3,5,2,2000,partition_heal,1,1,60.799,,,
trial,divergence-n2-same_region-1e3,6,2,2000,partition_heal,1,1,55.267,,,
trial,divergence-n2-same_region-1e3,7,2,2000,partition_heal,1,1,53.237,,,
trial,divergence-n2-same_region-1e3,8,2,2000,partition_heal,1,1,60.358,,,
trial,divergence-n2-same_region-1e3,9,2,2000,partition_heal,1,1,57.436,,,
trial,divergence-n2-same_region-1e3,10,2,2000,partition_heal,1,1,55.231,,,
trial,divergence-n2-same_region-1e3,11,2,2000,partition_heal,1,1,58.603,,,
trial,divergence-n2-same_region-1e3,12,2,2000,partition_heal,1,1,54.965,,,
trial,divergence-n2-same_region-1e3,13,2,2000,partition_heal,1,1,67.681,,,
trial,divergence-n2-same_region-1e3,14,2,2000,partition_heal,1,1,57.831,,,
trial,divergence-n2-same_region-1e3,15,2,2000,partition_heal,1,1,72.547,,,
trial,divergence-n2-same_region-1e3,16,2,2000,partition_heal,1,1,62.516,,,
trial,divergence-n2-same_region-1e3,17,2,2000,partition_heal,1,1,54.708,,,
trial,divergence-n2-same_region-1e3,18,2,2000,partition_heal,1,1,58.950,,,
trial,divergence-n2-same_region-1e3,19,2,2000,partition_heal,1,1,73.124,,,
trial,divergence-n2-same_region-1e3,20,2,2000,partition_heal,1,1,57.654,,,
summary,divergence-n2-same_region-1e3,20,2,2000,partition_heal,1,1,,60.721,58.603,72.547
trial,divergence-n2-append-1e4,1,2,20000,partition_heal,1,1,255.575,,,
trial,divergence-n2-append-1e4,2,2,20000,partition_heal,1,1,274.969,,,
trial,divergence-n2-append-1e4,3,2,20000,partition_heal,1,1,324.027,,,
