row_type,scenario,trial,node_count,op_count,topology_kind,edge_count,diameter,convergence_ms,mean_ms,p50_ms,p95_ms,wiring_ms,mean_wiring_ms
trial,partition-heal-n4-bridge-concentrated,1,4,8,partition_heal,3,3,5.121,,,,0.835,
trial,partition-heal-n4-bridge-concentrated,2,4,8,partition_heal,3,3,3.650,,,,0.681,
trial,partition-heal-n4-bridge-concentrated,3,4,8,partition_heal,3,3,2.393,,,,0.386,
trial,partition-heal-n4-bridge-concentrated,4,4,8,partition_heal,3,3,2.554,,,,0.418,
trial,partition-heal-n4-bridge-concentrated,5,4,8,partition_heal,3,3,2.622,,,,0.433,
trial,partition-heal-n4-bridge-concentrated,6,4,8,partition_heal,3,3,2.096,,,,0.340,
trial,partition-heal-n4-bridge-concentrated,7,4,8,partition_heal,3,3,2.147,,,,0.362,
trial,partition-heal-n4-bridge-concentrated,8,4,8,partition_heal,3,3,2.164,,,,0.332,
trial,partition-heal-n4-bridge-concentrated,9,4,8,partition_heal,3,3,2.458,,,,0.341,
trial,partition-heal-n4-bridge-concentrated,10,4,8,partition_heal,3,3,2.153,,,,0.383,
summary,partition-heal-n4-bridge-concentrated,10,4,8,partition_heal,3,3,,2.736,2.393,5.121,,0.451
trial,partition-heal-n4-bridge,1,4,8,partition_heal,3,3,2.015,,,,0.351,
trial,partition-heal-n4-bridge,2,4,8,partition_heal,3,3,2.117,,,,0.373,
trial,partition-heal-n4-bridge,3,4,8,partition_heal,3,3,2.017,,,,0.312,
trial,partition-heal-n4-bridge,4,4,8,partition_heal,3,3,2.173,,,,0.377,
trial,partition-heal-n4-bridge,5,4,8,partition_heal,3,3,2.393,,,,0.323,
trial,partition-heal-n4-bridge,6,4,8,partition_heal,3,3,2.812,,,,0.489,
trial,partition-heal-n4-bridge,7,4,8,partition_heal,3,3,3.171,,,,0.836,
trial,partition-heal-n4-bridge,8,4,8,partition_heal,3,3,2.023,,,,0.326,
trial,partition-heal-n4-bridge,9,4,8,partition_heal,3,3,2.134,,,,0.356,
trial,partition-heal-n4-bridge,10,4,8,partition_heal,3,3,1.957,,,,0.312,
summary,partition-heal-n4-bridge,10,4,8,partition_heal,3,3,,2.281,2.117,3.171,,0.405
trial,partition-heal-n4-concentrated,1,4,8,partition_heal,6,1,2.351,,,,0.431,
trial,partition-heal-n4-concentrated,2,4,8,partition_heal,6,1,2.301,,,,0.366,
trial,partition-heal-n4-concentrated,3,4,8,partition_heal,6,1,2.549,,,,0.414,
trial,partition-heal-n4-concentrated,4,4,8,partition_heal,6,1,2.239,,,,0.383,
trial,partition-heal-n4-concentrated,5,4,8,partition_heal,6,1,2.411,,,,0.385,
trial,partition-heal-n4-concentrated,6,4,8,partition_heal,6,1,2.342,,,,0.370,
trial,partition-heal-n4-concentrated,7,4,8,partition_heal,6,1,2.430,,,,0.336,
trial,partition-heal-n4-concentrated,8,4,8,partition_heal,6,1,2.321,,,,0.343,
trial,partition-heal-n4-concentrated,9,4,8,partition_heal,6,1,2.532,,,,0.446,
trial,partition-heal-n4-concentrated,10,4,8,partition_heal,6,1,2.404,,,,0.437,
summary,partition-heal-n4-concentrated,10,4,8,partition_heal,6,1,,2.388,2.351,2.549,,0.391
trial,partition-heal-n4,1,4,8,partition_heal,6,1,2.822,,,,0.525,
trial,partition-heal-n4,2,4,8,partition_heal,6,1,2.953,,,,0.576,
trial,partition-heal-n4,3,4,8,partition_heal,6,1,2.696,,,,0.433,
trial,partition-heal-n4,4,4,8,partition_heal,6,1,2.865,,,,0.443,
trial,partition-heal-n4,5,4,8,partition_heal,6,1,5.769,,,,0.430,
trial,partition-heal-n4,6,4,8,partition_heal,6,1,2.720,,,,0.502,
trial,partition-heal-n4,7,4,8,partition_heal,6,1,2.578,,,,0.393,
