row_type,scenario,trial,node_count,op_count,topology_kind,edge_count,diameter,convergence_ms,mean_ms,p50_ms,p95_ms,wiring_ms,mean_wiring_ms
trial,partition-heal-n4-bridge-concentrated,1,4,8,partition_heal,3,3,3.299,,,,1.314,
trial,partition-heal-n4-bridge-concentrated,2,4,8,partition_heal,3,3,2.915,,,,1.036,
trial,partition-heal-n4-bridge-concentrated,3,4,8,partition_heal,3,3,2.694,,,,1.146,
trial,partition-heal-n4-bridge-concentrated,4,4,8,partition_heal,3,3,3.040,,,,1.323,
trial,partition-heal-n4-bridge-concentrated,5,4,8,partition_heal,3,3,3.627,,,,1.822,
trial,partition-heal-n4-bridge-concentrated,6,4,8,partition_heal,3,3,2.804,,,,1.149,
trial,partition-heal-n4-bridge-concentrated,7,4,8,partition_heal,3,3,2.857,,,,1.180,
trial,partition-heal-n4-bridge-concentrated,8,4,8,partition_heal,3,3,2.617,,,,1.110,
trial,partition-heal-n4-bridge-concentrated,9,4,8,partition_heal,3,3,2.797,,,,1.147,
trial,partition-heal-n4-bridge-concentrated,10,4,8,partition_heal,3,3,2.689,,,,1.132,
summary,partition-heal-n4-bridge-concentrated,10,4,8,partition_heal,3,3,,2.934,2.804,3.627,,1.236
trial,partition-heal-n4-bridge,1,4,8,partition_heal,3,3,2.956,,,,1.141,
trial,partition-heal-n4-bridge,2,4,8,partition_heal,3,3,3.092,,,,1.284,
trial,partition-heal-n4-bridge,3,4,8,partition_heal,3,3,2.839,,,,1.085,
trial,partition-heal-n4-bridge,4,4,8,partition_heal,3,3,2.697,,,,1.162,
trial,partition-heal-n4-bridge,5,4,8,partition_heal,3,3,2.842,,,,1.129,
trial,partition-heal-n4-bridge,6,4,8,partition_heal,3,3,2.510,,,,1.011,
trial,partition-heal-n4-bridge,7,4,8,partition_heal,3,3,2.923,,,,1.036,
trial,partition-heal-n4-bridge,8,4,8,partition_heal,3,3,2.580,,,,1.030,
trial,partition-heal-n4-bridge,9,4,8,partition_heal,3,3,2.395,,,,0.837,
trial,partition-heal-n4-bridge,10,4,8,partition_heal,3,3,2.445,,,,0.965,
summary,partition-heal-n4-bridge,10,4,8,partition_heal,3,3,,2.728,2.697,3.092,,1.068
trial,partition-heal-n4-concentrated,1,4,8,partition_heal,6,1,3.316,,,,1.693,
trial,partition-heal-n4-concentrated,2,4,8,partition_heal,6,1,4.582,,,,2.894,
trial,partition-heal-n4-concentrated,3,4,8,partition_heal,6,1,3.411,,,,1.945,
trial,partition-heal-n4-concentrated,4,4,8,partition_heal,6,1,3.193,,,,1.723,
trial,partition-heal-n4-concentrated,5,4,8,partition_heal,6,1,2.928,,,,1.467,
trial,partition-heal-n4-concentrated,6,4,8,partition_heal,6,1,3.416,,,,1.609,
trial,partition-heal-n4-concentrated,7,4,8,partition_heal,6,1,2.868,,,,1.289,
trial,partition-heal-n4-concentrated,8,4,8,partition_heal,6,1,3.303,,,,1.877,
trial,partition-heal-n4-concentrated,9,4,8,partition_heal,6,1,3.155,,,,1.152,
trial,partition-heal-n4-concentrated,10,4,8,partition_heal,6,1,3.033,,,,1.336,
summary,partition-heal-n4-concentrated,10,4,8,partition_heal,6,1,,3.320,3.193,4.582,,1.698
trial,partition-heal-n4,1,4,8,partition_heal,6,1,3.052,,,,1.486,
trial,partition-heal-n4,2,4,8,partition_heal,6,1,3.068,,,,1.447,
trial,partition-heal-n4,3,4,8,partition_heal,6,1,2.791,,,,1.491,
trial,partition-heal-n4,4,4,8,partition_heal,6,1,2.793,,,,1.369,
trial,partition-heal-n4,5,4,8,partition_heal,6,1,3.146,,,,1.675,
trial,partition-heal-n4,6,4,8,partition_heal,6,1,2.797,,,,1.215,
trial,partition-heal-n4,7,4,8,partition_heal,6,1,5.812,,,,1.214,
trial,partition-heal-n4,8,4,8,partition_heal,6,1,2.840,,,,1.370,
trial,partition-heal-n4,9,4,8,partition_heal,6,1,2.846,,,,1.369,
trial,partition-heal-n4,10,4,8,partition_heal,6,1,3.793,,,,2.590,
summary,partition-heal-n4,10,4,8,partition_heal,6,1,,3.294,2.846,5.812,,1.523
trial,partition-heal-n6-bridge-concentrated,1,6,12,partition_heal,7,3,5.246,,,,1.593,
trial,partition-heal-n6-bridge-concentrated,2,6,12,partition_heal,7,3,4.287,,,,1.443,
trial,partition-heal-n6-bridge-concentrated,3,6,12,partition_heal,7,3,3.963,,,,1.330,
trial,partition-heal-n6-bridge-concentrated,4,6,12,partition_heal,7,3,3.764,,,,1.286,
trial,partition-heal-n6-bridge-concentrated,5,6,12,partition_heal,7,3,3.472,,,,1.043,
trial,partition-heal-n6-bridge-concentrated,6,6,12,partition_heal,7,3,3.860,,,,1.141,
trial,partition-heal-n6-bridge-concentrated,7,6,12,partition_heal,7,3,3.760,,,,1.274,
trial,partition-heal-n6-bridge-concentrated,8,6,12,partition_heal,7,3,4.255,,,,1.142,
trial,partition-heal-n6-bridge-concentrated,9,6,12,partition_heal,7,3,4.527,,,,1.456,
trial,partition-heal-n6-bridge-concentrated,10,6,12,partition_heal,7,3,4.082,,,,1.257,
